email,sim_no,sim_provider,mobile_no,billing_frequency,sale_date,status,price
rgleave0@phoca.cz,5865065416,vodafone,5865065416,year,15-09-2019,in_used,16
mtooby1@theatlantic.com,9276411607,vodafone,9276411607,year,15-09-2019,closed,16
horeagan2@a8.net,8185811350,vodafone,8185811350,year,15-09-2019,in_used,16
gshave3@mediafire.com,8528443450,vodafone,8528443450,year,15-09-2019,in_used,16
egudgion4@vk.com,4360021259,vodafone,4360021259,year,15-09-2019,in_used,16
tlargen5@miibeian.gov.cn,8643665088,vodafone,8643665088,year,15-09-2019,closed,16
bbatt6@about.com,8311701962,vodafone,8311701962,year,15-09-2019,in_used,16
cwhiteman7@businessinsider.com,8632558978,vodafone,8632558978,year,15-09-2019,in_used,16
awycliffe8@storify.com,7780354253,vodafone,7780354253,year,15-09-2019,in_used,16
psara9@barnesandnoble.com,5719055592,vodafone,5719055592,year,15-09-2019,closed,16
jmaccooka@multiply.com,8796453966,vodafone,8796453966,year,15-09-2019,in_used,16
lellwellb@census.gov,6068838099,vodafone,6068838099,year,15-09-2019,in_used,16
nsummertonc@nhs.uk,199657602,vodafone,199657602,year,15-09-2019,in_used,16
lsollemed@wikipedia.org,6871306021,vodafone,6871306021,year,15-09-2019,closed,16
astonhame@about.com,8309741766,vodafone,8309741766,year,15-09-2019,in_used,16
jgilpillanf@dailymail.co.uk,7511440789,vodafone,7511440789,year,15-09-2019,in_used,16
rminigog@spotify.com,3204478130,vodafone,3204478130,year,15-09-2019,in_used,16
jpetrish@state.gov,8644367595,vodafone,8644367595,year,15-09-2019,closed,16
vnottlei@digg.com,3300613914,vodafone,3300613914,year,15-09-2019,in_used,16
